,fighter_name,Height,Weight,Reach,Stance,DOB
0,Aaron Phillips,"5' 9""",135 lbs.,"70""",Southpaw,"Aug 05, 1989"
1,Aaron Riley,"5' 8""",155 lbs.,"69""",Southpaw,"Dec 09, 1980"
2,Aaron Rosa,"6' 4""",205 lbs.,"78""",Orthodox,"May 28, 1983"
3,Aaron Simpson,"6' 0""",170 lbs.,"73""",Orthodox,"Jul 20, 1974"
4,Abdul Razak Alhassan,"5' 10""",170 lbs.,"73""",Orthodox,"Aug 11, 1985"
5,Abdul-Kerim Edilov,"6' 2""",205 lbs.,"78""",Orthodox,"Nov 25, 1991"
6,Abel Trujillo,"5' 8""",155 lbs.,"70""",Orthodox,"Sep 18, 1983"
7,Abu Azaitar,"5' 9""",185 lbs.,"76""",Orthodox,"Mar 10, 1986"
8,Adam Antolin,"5' 5""",125 lbs.,"63""",Orthodox,"Feb 28, 1982"
9,Adam Hunter,"6' 1""",185 lbs.,"73""",Orthodox,"Oct 16, 1983"
10,Adam Milstead,"6' 3""",205 lbs.,"76""",Orthodox,"Jul 03, 1987"
11,Adam Wieczorek,"6' 5""",250 lbs.,"81""",Orthodox,"Feb 05, 1992"
12,Adam Yandiev,"5' 9""",185 lbs.,"74""",Orthodox,"Aug 07, 1988"
13,Adlan Amagov,"6' 2""",170 lbs.,"76""",Orthodox,"Oct 30, 1986"
14,Adriano Martins,"5' 10""",155 lbs.,"72""",Southpaw,"Dec 16, 1982"
15,Aiemann Zahabi,"5' 8""",135 lbs.,"68""",Orthodox,"Nov 19, 1987"
16,Akbarh Arreola,"5' 10""",155 lbs.,"71""",Southpaw,"Jan 14, 1983"
17,Akihiro Gono,"5' 7""",170 lbs.,"68""",Switch,"Oct 07, 1974"
18,Akira Corassani,"5' 8""",145 lbs.,"68""",Orthodox,"Aug 27, 1982"
19,Akitoshi Tamura,"5' 9""",135 lbs.,"70""",Orthodox,"May 31, 1980"
20,Al Iaquinta,"5' 10""",155 lbs.,"70""",Orthodox,"Apr 30, 1987"
21,Alan Belcher,"6' 2""",185 lbs.,"73""",Orthodox,"Apr 24, 1984"
22,Alan Jouban,"6' 0""",170 lbs.,"73""",Southpaw,"Nov 25, 1981"
23,Alan Omer,"5' 10""",145 lbs.,"71""",Orthodox,"Sep 14, 1988"
24,Alan Patrick,"5' 11""",155 lbs.,"74""",Southpaw,"Jul 19, 1983"
25,Albert Morales,"5' 9""",135 lbs.,"72""",Orthodox,"May 25, 1991"
26,Albert Tumenov,"5' 11""",170 lbs.,"73""",Orthodox,"Dec 26, 1991"
27,Alberto Mina,"6' 0""",170 lbs.,"77""",Orthodox,"May 02, 1982"
28,Alberto Uda,"6' 3""",185 lbs.,"77""",Orthodox,"Aug 08, 1984"
29,Alejandro Perez,"5' 6""",135 lbs.,"67""",Orthodox,"Sep 02, 1989"
30,Aleksandar Rakic,"6' 4""",205 lbs.,"78""",Orthodox,"Feb 06, 1992"
31,Aleksei Kunchenko,"5' 8""",170 lbs.,"70""",Orthodox,"May 02, 1984"
