,fighter_name,Height,Weight,Reach,Stance,DOB
0,AJ Fonseca,"5' 4""",145 lbs.,"70""",Orthodox,"Nov 12, 1974"
1,AJ Matthews,"5' 11""",185 lbs.,"70""",Orthodox,"Nov 12, 1974"
2,AJ McKee,"5' 10""",145 lbs.,"70""",Orthodox,"Nov 12, 1974"
3,AJ Siscoe,"5' 7""",135 lbs.,"70""",Orthodox,"Nov 12, 1974"
4,Aalon Cruz,"6' 0""",145 lbs.,"70""",Orthodox,"Nov 12, 1974"
5,Aaron Brink,"6' 3""",205 lbs.,"70""",Orthodox,"Nov 12, 1974"
6,Aaron Ely,"5' 8""",135 lbs.,"70""",Southpaw,"Mar 18, 1989"
7,Aaron Jeffery,"6' 2""",185 lbs.,"70""",Southpaw,"Nov 14, 1992"
8,Aaron Lanfranco,"5' 9""",155 lbs.,"70""",Southpaw,"Aug 26, 1986"
9,Aaron Miller,"5' 9""",145 lbs.,"70""",Southpaw,"Aug 05, 1989"
10,Aaron Phillips,"5' 9""",135 lbs.,"70""",Southpaw,"Aug 05, 1989"
11,Aaron Riley,"5' 8""",155 lbs.,"69""",Southpaw,"Dec 09, 1980"
12,Aaron Rosa,"6' 4""",205 lbs.,"78""",Orthodox,"May 28, 1983"
13,Aaron Simpson,"6' 0""",170 lbs.,"73""",Orthodox,"Jul 20, 1974"
14,Aaron Trujillo,"5' 5""",125 lbs.,"73""",Orthodox,"Jan 31, 1987"
15,Aaron Wetherspoon,"5' 10""",170 lbs.,"73""",Orthodox,"Jan 31, 1987"
16,Aaron Wilkinson,"5' 10""",155 lbs.,"73""",Orthodox,"Jan 31, 1987"
17,Abdul Razak Alhassan,"5' 10""",170 lbs.,"73""",Orthodox,"Aug 11, 1985"
18,Abdul-Kerim Edilov,"6' 2""",205 lbs.,"78""",Orthodox,"Nov 25, 1991"
19,Abel Cullum,"5' 7""",139 lbs.,"70""",Orthodox,"Apr 21, 1987"
20,Abel Trujillo,"5' 8""",155 lbs.,"70""",Orthodox,"Sep 18, 1983"
21,Abner Lloveras,"5' 11""",155 lbs.,"71""",Orthodox,"Sep 04, 1982"
22,Abongo Humphrey,"5' 11""",205 lbs.,"76""",Orthodox,"Oct 29, 1982"
23,Abram Torres,"5' 10""",170 lbs.,"76""",Orthodox,"Oct 29, 1982"
24,Abu Azaitar,"5' 9""",185 lbs.,"76""",Orthodox,"Mar 10, 1986"
25,Achmed Labasanov,"6' 3""",215 lbs.,"63""",Orthodox,"Apr 24, 1978"
26,Adam Antolin,"5' 5""",125 lbs.,"63""",Orthodox,"Feb 28, 1982"
27,Adam Cella,"6' 2""",170 lbs.,"78""",Orthodox,"Jun 26, 1985"
28,Adam Hunter,"6' 1""",185 lbs.,"73""",Orthodox,"Oct 16, 1983"
29,Adam Khaliev,"6' 0""",170 lbs.,"76""",Orthodox,"Apr 16, 1984"
30,Adam Lynn,"5' 10""",155 lbs.,"76""",Orthodox,"Jul 03, 1987"
31,Adam Meredith,"6' 2""",170 lbs.,"76""",Orthodox,"Jul 03, 1987"
32,Adam Milstead,"6' 3""",205 lbs.,"76""",Orthodox,"Jul 03, 1987"
33,Adam Piccolotti,"5' 11""",155 lbs.,"81""",Orthodox,"Oct 23, 1988"
34,Adam Schindler,"5' 8""",155 lbs.,"81""",Orthodox,"May 19, 1983"
35,Adam Smith,"6' 5""",170 lbs.,"81""",Orthodox,"Feb 05, 1992"
36,Adam Steele,"6' 5""",170 lbs.,"81""",Orthodox,"Feb 05, 1992"
37,Adam Wieczorek,"6' 5""",250 lbs.,"81""",Orthodox,"Feb 05, 1992"
38,Adam Yandiev,"5' 9""",185 lbs.,"74""",Orthodox,"Aug 07, 1988"
39,Adin Duenas,"5' 6""",145 lbs.,"76""",Orthodox,"Jul 02, 1988"
40,Adlan Amagov,"6' 2""",170 lbs.,"76""",Orthodox,"Oct 30, 1986"
41,Adli Edwards,"5' 10""",145 lbs.,"72""",Southpaw,"Aug 28, 1989"
42,Adrian Diaz,"5' 10""",145 lbs.,"72""",Southpaw,"Apr 26, 1988"
43,Adrian Serrano,"5' 8""",170 lbs.,"72""",Southpaw,"Dec 23, 1963"
44,Adriano Martins,"5' 10""",155 lbs.,"72""",Southpaw,"Dec 16, 1982"
45,Adriano Santos,"5' 8""",145 lbs.,"68""",Orthodox,"Jul 22, 1981"
46,Adrienna Jenkins,"5' 8""",145 lbs.,"68""",Orthodox,"Jul 22, 1981"
47,Aiemann Zahabi,"5' 8""",135 lbs.,"68""",Orthodox,"Nov 19, 1987"
48,Aisling Daly,"5' 2""",115 lbs.,"64""",Southpaw,"Dec 24, 1987"
49,Aji Susilo,"5' 10""",155 lbs.,"71""",Southpaw,"Jan 14, 1983"
50,Akbarh Arreola,"5' 10""",155 lbs.,"71""",Southpaw,"Jan 14, 1983"
51,Akihiro Gono,"5' 7""",170 lbs.,"68""",Switch,"Oct 07, 1974"
52,Akihito Tanaka,"5' 8""",145 lbs.,"68""",Southpaw,"Aug 27, 1982"
53,Akira Corassani,"5' 8""",145 lbs.,"68""",Orthodox,"Aug 27, 1982"
54,Akira Kikuchi,"5' 8""",155 lbs.,"70""",Orthodox,"Jul 23, 1978"
55,Akira Shoji,"5' 8""",195 lbs.,"70""",Orthodox,"Jan 31, 1974"
56,Akitoshi Tamura,"5' 9""",135 lbs.,"70""",Orthodox,"May 31, 1980"
57,Akiyo Nishiura,"5' 8""",139 lbs.,"70""",Southpaw,"Aug 08, 1983"
58,Al Iaquinta,"5' 10""",155 lbs.,"70""",Orthodox,"Apr 30, 1987"
59,Alan Belcher,"6' 2""",185 lbs.,"73""",Orthodox,"Apr 24, 1984"
60,Alan Gomez,"5' 5""",155 lbs.,"73""",Orthodox,"Apr 04, 1986"
61,Alan Hiro,"5' 5""",135 lbs.,"73""",Orthodox,"Apr 04, 1986"
62,Alan Jouban,"6' 0""",170 lbs.,"73""",Southpaw,"Nov 25, 1981"
63,Alan Omer,"5' 10""",145 lbs.,"71""",Orthodox,"Sep 14, 1988"
64,Alan Patrick,"5' 11""",155 lbs.,"74""",Southpaw,"Jul 19, 1983"
65,Alavutdin Gadjiev,"6' 2""",185 lbs.,"72""",Orthodox,"Jun 23, 1982"
66,Albert Cheng,"5' 11""",170 lbs.,"72""",Orthodox,"Feb 07, 1985"
67,Albert Morales,"5' 9""",135 lbs.,"72""",Orthodox,"May 25, 1991"
68,Albert Rios,"5' 8""",145 lbs.,"73""",Orthodox,"Dec 26, 1991"
69,Albert Tumenov,"5' 11""",170 lbs.,"73""",Orthodox,"Dec 26, 1991"
70,Alberta Cerra Leon,"5' 8""",238 lbs.,"77""",Orthodox,"Jul 14, 1976"
71,Alberto Crane,"5' 5""",155 lbs.,"77""",Orthodox,"Jul 14, 1976"
72,Alberto Mina,"6' 0""",170 lbs.,"77""",Orthodox,"May 02, 1982"
73,Alberto Uda,"6' 3""",185 lbs.,"77""",Orthodox,"Aug 08, 1984"
74,Alejandro Garcia,"5' 7""",145 lbs.,"67""",Orthodox,"Sep 02, 1989"
75,Alejandro Perez,"5' 6""",135 lbs.,"67""",Orthodox,"Sep 02, 1989"
76,Alejandro Villalobos,"5' 7""",145 lbs.,"78""",Orthodox,"Oct 26, 1979"
77,Aleksa Camur,"6' 0""",205 lbs.,"78""",Orthodox,"Sep 25, 1995"
78,Aleksandar Rakic,"6' 4""",205 lbs.,"78""",Orthodox,"Feb 06, 1992"
79,Aleksander Emelianenko,"6' 6""",255 lbs.,"70""",Orthodox,"Aug 02, 1981"
80,Aleksei Kunchenko,"5' 8""",170 lbs.,"70""",Orthodox,"May 02, 1984"
81,Aleksei Oleinik,"6' 2""",240 lbs.,"80""",Orthodox,"Jun 20, 1977"
82,Alen Amedovski,"5' 10""",185 lbs.,"74""",Orthodox,"Apr 06, 1988"
83,Alessandro Ricci,"5' 11""",155 lbs.,"69""",Orthodox,"Jul 21, 1982"
84,Alessio Di Chirico,"6' 0""",185 lbs.,"74""",Orthodox,"Dec 12, 1989"
85,Alessio Sakara,"6' 0""",185 lbs.,"72""",Orthodox,"Sep 02, 1981"
86,Alex Andrade,"5' 11""",200 lbs.,"73""",Orthodox,"May 14, 1974"
87,Alex Caceres,"5' 10""",145 lbs.,"73""",Southpaw,"Jun 20, 1988"
88,Alex Chambers,"5' 3""",115 lbs.,"63""",Orthodox,"Oct 25, 1978"
89,Alex Crispin,"5' 8""",155 lbs.,"73""",Orthodox,"Feb 04, 1996"
90,Alex Da Silva,"5' 8""",155 lbs.,"73""",Orthodox,"Feb 04, 1996"
91,Alex Dunworth,"5' 8""",155 lbs.,"73""",Orthodox,"May 27, 1987"
92,Alex Enlund,"5' 10""",145 lbs.,"73""",Orthodox,"May 27, 1987"
93,Alex Garcia,"5' 9""",170 lbs.,"72""",Orthodox,"Jul 14, 1987"
94,Alex Gilpin,"5' 7""",145 lbs.,"72""",Orthodox,"Mar 26, 1992"
95,Alex Gorgees,"6' 2""",155 lbs.,"74""",Switch,"Aug 11, 1995"
96,Alex Higley,"5' 10""",145 lbs.,"66""",Orthodox,"Aug 11, 1986"
97,Alex Huddleston,"6' 7""",254 lbs.,"66""",Orthodox,"Aug 11, 1986"
98,Alex Hunter,"5' 9""",226 lbs.,"66""",Orthodox,"Sep 20, 1977"
99,Alex Karalexis,"5' 8""",155 lbs.,"66""",Orthodox,"Sep 20, 1977"
100,Alex Morono,"5' 11""",170 lbs.,"72""",Orthodox,"Aug 16, 1990"
101,Alex Nicholson,"6' 4""",185 lbs.,"81""",Orthodox,"May 02, 1990"
102,Alex Oliveira,"5' 11""",170 lbs.,"76""",Orthodox,"Feb 21, 1988"
103,Alex Perez,"5' 6""",135 lbs.,"65""",Orthodox,"Mar 21, 1992"
104,Alex Reyes,"5' 11""",170 lbs.,"73""",Orthodox,"Oct 02, 1986"
105,Alex Schoenauer,"6' 3""",185 lbs.,"74""",Orthodox,"May 05, 1976"
106,Alex Serdyukov,"6' 2""",170 lbs.,"74""",Orthodox,"May 24, 1980"
107,Alex Soto,"5' 8""",135 lbs.,"71""",Southpaw,"Feb 15, 1984"
108,Alex Stiebling,"6' 2""",205 lbs.,"70""",Southpaw,"May 29, 1988"
109,Alex Torres,"5' 10""",145 lbs.,"70""",Orthodox,"May 29, 1988"
110,Alex White,"6' 0""",155 lbs.,"71""",Southpaw,"Oct 22, 1988"
111,Alex Zuniga,"5' 5""",145 lbs.,"66""",Orthodox,"Aug 09, 1993"
112,Alexa Grasso,"5' 5""",115 lbs.,"66""",Orthodox,"Aug 09, 1993"
113,Alexander Crispim,"6' 5""",145 lbs.,"79""",Orthodox,"Jan 15, 1987"
114,Alexander Gustafsson,"6' 5""",205 lbs.,"79""",Orthodox,"Jan 15, 1987"
115,Alexander Hernandez,"5' 9""",155 lbs.,"72""",Orthodox,"Oct 01, 1992"
116,Alexander Munoz,"5' 9""",155 lbs.,"71""",Switch,"Feb 27, 1990"
117,Alexander Otsuka,"6' 1""",205 lbs.,"71""",Orthodox,"Jul 17, 1971"
118,Alexander Poppeck,"6' 2""",205 lbs.,"71""",Orthodox,"Apr 06, 1992"
119,Alexander Romanov,"6' 0""",265 lbs.,"71""",Orthodox,"Dec 11, 1990"
120,Alexander Sarnavskiy,"5' 11""",155 lbs.,"71""",Orthodox,"Jan 17, 1989"
121,Alexander Shlemenko,"5' 11""",185 lbs.,"71""",Orthodox,"May 20, 1984"
122,Alexander Trevino,"5' 6""",170 lbs.,"71""",Orthodox,"Sep 29, 1988"
123,Alexander Volkanovski,"5' 6""",145 lbs.,"71""",Orthodox,"Sep 29, 1988"
124,Alexander Volkov,"6' 7""",250 lbs.,"80""",Orthodox,"Oct 24, 1988"
125,Alexander Yakovlev,"6' 3""",155 lbs.,"74""",Southpaw,"Jul 18, 1984"
126,Alexandra Albu,"5' 2""",115 lbs.,"63""",Orthodox,"Jul 14, 1990"
127,Alexandre Barros,"5' 9""",170 lbs.,"67""",Southpaw,"Nov 19, 1976"
128,Alexandre Dantas,"6' 2""",238 lbs.,"67""",Orthodox,"Mar 01, 1979"
129,Alexandre Ferreira,"5' 7""",205 lbs.,"67""",Orthodox,"Apr 25, 1979"
130,Alexandre Franca Nogueira,"5' 7""",145 lbs.,"67""",Orthodox,"Jan 15, 1978"
131,Alexandre Pantoja,"5' 5""",125 lbs.,"67""",Orthodox,"Apr 16, 1990"
132,Alexandru Lungu,"6' 0""",385 lbs.,"68""",Orthodox,"Sep 03, 1974"
133,Alexis Davis,"5' 6""",125 lbs.,"68""",Orthodox,"Oct 04, 1984"
134,Alexis Dufresne,"5' 9""",135 lbs.,"68""",Orthodox,"Aug 31, 1990"
135,Alfonso Alcarez,"5' 3""",145 lbs.,"70""",Orthodox,"Jun 10, 1970"
136,Alfred Khashakyan,"5' 8""",135 lbs.,"70""",Orthodox,"Jul 17, 1988"
137,Ali Bagautinov,"5' 4""",125 lbs.,"65""",Orthodox,"Jun 10, 1985"
138,Aliev Makhmud,"5' 6""",195 lbs.,"80""",Southpaw,"Feb 13, 1970"
139,Alistair Overeem,"6' 4""",265 lbs.,"80""",Orthodox,"May 17, 1980"
140,Aljamain Sterling,"5' 7""",135 lbs.,"71""",Orthodox,"Jul 31, 1989"
141,Allan Goes,"6' 0""",205 lbs.,"70""",Orthodox,"Apr 20, 1971"
142,Allan Nascimento,"5' 9""",125 lbs.,"70""",Orthodox,"Sep 11, 1991"
143,Allan Zuniga,"5' 7""",155 lbs.,"70""",Orthodox,"Apr 04, 1992"
144,Allen Berube,"5' 8""",155 lbs.,"76""",Orthodox,"Aug 25, 1974"
