,fighter_name,Height,Weight,Reach,Stance,DOB
10,Aaron Phillips,"5' 9""",135 lbs.,"70""",Southpaw,"Aug 05, 1989"
11,Aaron Riley,"5' 8""",155 lbs.,"69""",Southpaw,"Dec 09, 1980"
12,Aaron Rosa,"6' 4""",205 lbs.,"78""",Orthodox,"May 28, 1983"
13,Aaron Simpson,"6' 0""",170 lbs.,"73""",Orthodox,"Jul 20, 1974"
17,Abdul Razak Alhassan,"5' 10""",170 lbs.,"73""",Orthodox,"Aug 11, 1985"
18,Abdul-Kerim Edilov,"6' 2""",205 lbs.,"78""",Orthodox,"Nov 25, 1991"
20,Abel Trujillo,"5' 8""",155 lbs.,"70""",Orthodox,"Sep 18, 1983"
24,Abu Azaitar,"5' 9""",185 lbs.,"76""",Orthodox,"Mar 10, 1986"
26,Adam Antolin,"5' 5""",125 lbs.,"63""",Orthodox,"Feb 28, 1982"
28,Adam Hunter,"6' 1""",185 lbs.,"73""",Orthodox,"Oct 16, 1983"
32,Adam Milstead,"6' 3""",205 lbs.,"76""",Orthodox,"Jul 03, 1987"
37,Adam Wieczorek,"6' 5""",250 lbs.,"81""",Orthodox,"Feb 05, 1992"
38,Adam Yandiev,"5' 9""",185 lbs.,"74""",Orthodox,"Aug 07, 1988"
40,Adlan Amagov,"6' 2""",170 lbs.,"76""",Orthodox,"Oct 30, 1986"
44,Adriano Martins,"5' 10""",155 lbs.,"72""",Southpaw,"Dec 16, 1982"
47,Aiemann Zahabi,"5' 8""",135 lbs.,"68""",Orthodox,"Nov 19, 1987"
50,Akbarh Arreola,"5' 10""",155 lbs.,"71""",Southpaw,"Jan 14, 1983"
51,Akihiro Gono,"5' 7""",170 lbs.,"68""",Switch,"Oct 07, 1974"
53,Akira Corassani,"5' 8""",145 lbs.,"68""",Orthodox,"Aug 27, 1982"
56,Akitoshi Tamura,"5' 9""",135 lbs.,"70""",Orthodox,"May 31, 1980"
58,Al Iaquinta,"5' 10""",155 lbs.,"70""",Orthodox,"Apr 30, 1987"
